Species;Frost_Thom;Frost_Ellenberg;Drought_Thom;Drought_Ellenberg
Abies alba;1,29;1,00;2,43;3,00
Abies grandis;2,78;-;2,33;-
Acer campestre;3,45;3,00;3,48;4,00
Acer platanoides;3,48;3,00;2,61;3,00
Acer pseudoplatanus;3,56;3,00;2,35;3,00
Alnus glutinosa;3,73;3,00;1,31;1,00
Alnus incana;4,83;4,00;2,64;1,00
Betula maximowicziana;4,50;-;1,57;-
Betula pendula;4,67;5,00;2,77;-
Carpinus betulus;2,71;3,00;2,83;3,00
Castanea sativa;1,47;1,00;4,15;4,00
Cedrus libani;1,00;-;2,75;-
Corylus avellana;3,00;-;3,04;-
Corylus colurna;2,50;-;3,57;-
Fagus orientalis;1,50;-;2,70;-
Fagus sylvatica;1,69;1,00;2,15;2,00
Fraxinus excelsior;1,52;1,00;1,90;2,00
Fraxinus ornus;1,92;-;4,31;-
Ilex aquifolium;1,25;-;3,04;-
Juglans nigra;1,00;-;2,38;-
Juglans regia;1,50;-;3,49;-
Juniperus communis;5,00;-;4,41;-
Larix decidua;3,74;3,00;2,06;2,00
Larix kaempferi;3,67;-;2,00;-
Liriodendron tulipifera;1,75;-;2,60;-
Malus sylvestris;2,83;2,00;3,05;3,00
Ostrya carpinifolia;3,00;-;3,07;-
Paulownia tomentosa;1,63;-;3,00;-
Picea abies;3,22;3,00;1,55;1,00
Pinus nigra;3,33;4,00;4,79;5,00
Pinus sylvestris;4,93;5,00;4,72;5,00
Populus tremula;4,92;-;2,39;-
Prunus avium;3,13;2,00;3,53;3,00
Pseudotsuga menziesii;2,17;-;3,14;-
Pyrus pyraster;2,08;-;3,16;-
Quercus cerris;2,78;4,00;3,43;2,00
Quercus petraea;2,51;3,00;3,34;3,00
Quercus pubescens;2,29;2,00;4,37;4,00
Quercus robur;2,47;3,00;2,72;1,00
Quercus rubra;2,57;-;2,61;-
Robinia pseudoacacia;2,22;-;4,11;-
Salix caprea;3,00;-;2,24;-
Sorbus aria;4,17;3,00;4,14;4,00
Sorbus aucuparia;5,00;5,00;3,70;-
Sorbus domestica;3,22;2,00;3,26;3,00
Sorbus torminalis;3,67;2,00;4,19;4,00
Taxus baccata;3,73;4,00;3,00;4,00
Thuja plicata;1,00;-;2,23;-
Tilia cordata;3,88;3,00;3,68;4,00
Tilia platyphyllos;3,44;3,00;2,77;3,00
Tilia tomentosa;4,00;-;2,81;-
Tsuga heterophylla;1,00;;1,17;-
Ulmus laevis;4,13;4,00;1,74;2,00
